Village,Latitude,Longitude
Pipariya,23.516422,80.87169
Tikura Kathai,23.513607,80.72421
Bhagda,23.504366,80.856069
Pauniya,23.512074,80.763391
Obara,23.515189,80.590964
Chhatan Tola,23.506889,80.977879
Ratheli,23.509323,80.915764
Goraiya,23.495557,81.035983
Laudhai,24.709051,80.83249
Dhangi,23.497464,80.741287
Tala,23.498723,80.581822
Semariya,23.505319,80.878978
Koylari,23.500866,80.799911
Barauda,23.492762,80.67235
Baruwa Seduri,24.871289,81.002071
Kirantal Kalan,23.493992,80.85552
Amha,23.481989,80.893067
Bandha,23.487171,80.91083
Ufri,23.496105,80.83402
Ujania,23.497979,80.820843
Ladera,23.478674,80.875118
Urdani,23.487503,80.713895
Ghunsu,23.480615,80.959399
Amlai,23.48248,80.941546
Sehra Tola,23.478989,80.983273
Sahajanara,23.470012,80.698199
Semrahan Khurd,24.875111,81.029077
Mahroi,23.480976,80.835789
Karimati,23.484517,80.807238
Pidra,23.482465,80.607559
Tikura Pathari,23.476992,80.644803
Atariya,23.475907,80.754256
Munda,23.455439,80.885989
Karua,23.476257,80.618073
Kirantal Khurd,23.479341,80.859246
Karkeli,23.462185,80.908848
Majmani Kalan,23.462977,80.79566
Ujan,23.454461,80.936605
Alhai,24.866689,81.025067
Amari,23.46655,80.807475
Khaira,23.466278,80.821567
Magardhara,23.461681,80.777403
Padariya,23.464989,80.730332
Singhpamar,23.436773,80.891104
Baskuta,23.45265,81.026505
Amanhudi,23.458125,80.840978
Pathari,23.45274,80.976158
Akmaniha,23.43667,80.999405
Dongargawan,23.447132,80.762127
Bichua,23.459344,80.750547
Umarpani,23.446974,80.866938
Tamannara,23.445489,80.737158
Amaha,23.428494,80.733845
Jamuniha,23.442844,80.69827
Gijjri,23.446231,80.807545
Dulhari,23.448694,80.823364
Rojhin,23.440936,80.655361
Lalpur,23.437779,80.717817
Majmani Khurd,23.43239,80.783351
Barhi,23.431486,80.915916
Gilothar,23.431127,80.672402
Junmani,23.428819,80.812471
Silaundi,23.430303,80.875891
Mardari,23.429994,80.83664
Tenduha,23.429604,80.962734
Kohka,23.425165,80.757246
Dondgawan,23.418846,81.005452
Dhanhari,23.422777,80.703429
Singawada,23.414251,80.940412
Uchehara,23.414464,80.969865
Silpari,23.411771,80.683117
Guda,23.418443,80.741801
Majhgawan,23.419216,80.885479
Nipaniya,23.407341,80.987946
Raghopur,23.408006,80.87879
Kudra,23.416991,80.693269
Birhuliya,23.413677,80.791775
Nipaniya,23.41862,80.724414
Mardar,23.408665,80.758818
Jhiriya,24.862287,80.99248
Sahijana,23.408137,80.907984
Karoundi,23.402164,80.790852
Dhanwar,23.395914,80.915718
Chiruhala,23.39909,80.842339
Bardiya Khurd,24.84366,81.008325
Budhan Rampur,23.391569,80.825787
Arnuwari,23.401088,80.728732
Bhundi,23.395217,80.874232
Pathari Kalan,23.386979,80.769376
Dewgawa Khurd,23.390634,80.994209
Gijari,23.389083,81.015007
Baja Kund,23.390818,80.749739
Kaudiya,23.383957,80.859903
Karaunda,23.391372,80.70545
Sastra,23.385098,80.969775
Tummadar,23.383021,80.722294
Badagaon,23.378753,80.943291
Bijaura,23.381715,80.88607
Jarha,23.370309,80.81945
Surajpura,23.372274,80.741186
Gopal Pur,23.371024,80.795122
Jhikatal,23.376556,80.923839
Hadha,23.373584,80.901188
Katariya,23.368554,80.76576
Masurpani,23.365172,80.909248
Narwar,23.358577,80.849133
Mahuri,23.367939,80.874278
Dewdandi,23.353585,80.878528
Bahirde,23.362228,80.936564
Dewari,23.357105,80.893238
Mohagwan,23.360387,80.920497
